caller_module,callee_module,relationships,call_sites
D:\MOX\OTHERS\SETTLER.C,D:\MOX\OTHERS\COLCALC.C,1,3
D:\MOX\RACESCRN.C,D:\MOX\DIP-SCRN.C,1,3
D:\MOX\ANTAROOM.C,D:\MOX\BILL.C,2,2
D:\MOX\BILL.C,D:\MOX\OTHERS\HAROLD.C,2,2
D:\MOX\DIP-SCRN.C,D:\MOX\FMTPARA.C,2,2
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\AITECH.C,2,2
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\TRADE.C,2,2
D:\MOX\EVENTS.C,D:\MOX\FMTPARA.C,2,2
D:\MOX\EVENTS.C,D:\MOX\OTHERS\SHIPMOVE.C,2,2
D:\MOX\EVENTS.C,D:\MOX\OTHERS\SHIPS.C,2,2
D:\MOX\INFO.C,D:\MOX\TECH.C,2,2
D:\MOX\JIM.C,D:\MOX\TECH.C,2,2
D:\MOX\OTHERS\ADVCIV.C,D:\MOX\OTHERS\MAPGEN.C,2,2
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\BILL.C,2,2
D:\MOX\OTHERS\AIDESIGN.C,D:\MOX\OTHERS\AIPOWER.C,2,2
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\OTHERS\INITSHIP.C,2,2
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\AIBUILD.C,2,2
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\GEO.C,2,2
D:\MOX\OTHERS\AITRADE.C,D:\MOX\OTHERS\TRADE.C,2,2
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\BOMB.C,D:\MOX\OTHERS\OFFICER.C,2,2
D:\MOX\OTHERS\CHAT.C,D:\MOX\OTHERS\NETMOX.C,2,2
D:\MOX\OTHERS\CHAT.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\INVASION.C,2,2
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\EVANHELP.C,2,2
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\MISC.C,2,2
D:\MOX\OTHERS\CMBTDRW1.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\CMBTFIR2.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\CMBTMOV1.C,2,2
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\COMBAT1.C,2,2
D:\MOX\OTHERS\CMBTFIRE.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTSPEC.C,2,2
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\CMBTMOV1.C,2,2
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\ASSERT.C,2,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\COLREFIT.C,2,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\BOMB.C,2,2
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\MAINSCR.C,2,2
D:\MOX\OTHERS\COLCALC.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\JIM.C,2,2
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\SETTLER.C,2,2
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\COLONY.C,D:\MOX\EVENTS.C,2,2
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\MAINPUPS.C,2,2
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\OCPOLPUP.C,2,2
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\HAROLD.C,2,2
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\OFFICER.C,2,2
D:\MOX\OTHERS\COLSUM.C,D:\MOX\OTHERS\HAROLD.C,2,2
D:\MOX\OTHERS\COLSYSDI.C,D:\MOX\OTHERS\COLONY.C,2,2
D:\MOX\OTHERS\COMBAT.C,D:\MOX\OTHERS\ANTARANS.C,2,2
D:\MOX\OTHERS\COMBAT.C,L:\MOX\MOX2.C,2,2
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\EVENTS.C,2,2
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\ANTARANS.C,2,2
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\OTHERS\MSG.C,2,2
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\JIM.C,2,2
D:\MOX\OTHERS\COMBINIT.C,D:\MOX\OTHERS\ANTARANS.C,2,2
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\DESIGN.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\ERIC.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\EVANHELP.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\AIPOWER.C,2,2
D:\MOX\OTHERS\FLEETPOP.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\FLT1.C,D:\MOX\OTHERS\MAINSCR.C,2,2
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\FLT1.C,2,2
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\KEN.C,2,2
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\FLT2.C,D:\MOX\OTHERS\SHIPS.C,2,2
D:\MOX\OTHERS\GENDRAW.C,D:\MOX\FIELDSAV.C,2,2
D:\MOX\OTHERS\HACCESS.C,D:\MOX\OTHERS\SHIPMOVE.C,2,2
D:\MOX\OTHERS\HAROLD.C,D:\MOX\OTHERS\OFFICER.C,2,2
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\HOTPOP.C,L:\MOX\MOX2.C,2,2
D:\MOX\OTHERS\KEN.C,D:\MOX\OTHERS\INITSHIP.C,2,2
D:\MOX\OTHERS\LOADSAVE.C,D:\MOX\JIM.C,2,2
D:\MOX\OTHERS\MAINMENU.C,L:\MOX\FILEDEF.C,2,2
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\BOMB.C,2,2
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\GENDRAW.C,2,2
D:\MOX\OTHERS\MAINPUPS.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\LOADSAVE.C,2,2
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\SCROLL.C,2,2
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\MAINSCR.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\MAINSCR.C,L:\MOX\FILEDEF.C,2,2
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\MAINSCR2.C,D:\MOX\OTHERS\COLONIZE.C,2,2
D:\MOX\OTHERS\MAINTAIN.C,L:\MOX\ERICNET.C,2,2
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\ASSERT.C,2,2
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\MAPGEN.C,D:\MOX\OTHERS\HOMEGEN.C,2,2
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\HACCESS.C,2,2
D:\MOX\OTHERS\MULTPLAY.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\OTHERS\NAMESTAR.C,D:\MOX\OTHERS\HAROLD.C,2,2
D:\MOX\OTHERS\NETMOX.C,D:\MOX\DIP-SCRN.C,2,2
D:\MOX\OTHERS\NETMOX.C,D:\MOX\EVENTS.C,2,2
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\MAINSCR.C,2,2
D:\MOX\OTHERS\NETSTART.C,D:\MOX\OTHERS\RACESEL.C,2,2
D:\MOX\OTHERS\NETTURN.C,D:\MOX\OTHERS\RUSS.C,2,2
D:\MOX\OTHERS\NEWGAME.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\OTHERS\OCPOLPUP.C,L:\MOX\MOX2.C,2,2
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\EVANHELP.C,2,2
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\KEN.C,2,2
D:\MOX\OTHERS\OFFICER.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\RACEOPT.C,D:\MOX\OTHERS\RACESEL.C,2,2
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\SHIPMOVE.C,2,2
D:\MOX\OTHERS\REPORT.C,D:\MOX\TECH.C,2,2
D:\MOX\OTHERS\RUSS.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\EVENTS.C,2,2
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\HAROLD.C,2,2
D:\MOX\OTHERS\SHIPMOVE.C,D:\MOX\OTHERS\INITSHIP.C,2,2
D:\MOX\OTHERS\SHIPS.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\SPY.C,D:\MOX\DIPLOMAC.C,2,2
D:\MOX\OTHERS\SYS.C,D:\MOX\BILL.C,2,2
D:\MOX\OTHERS\SYS.C,D:\MOX\FMTPARA.C,2,2
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\GEO.C,2,2
D:\MOX\OTHERS\SYS.C,D:\MOX\OTHERS\MOVEBOX.C,2,2
D:\MOX\OTHERS\TECHINIT.C,D:\MOX\OTHERS\INITSHIP.C,2,2
D:\MOX\OTHERS\TEXTBOX.C,D:\MOX\FIELDSAV.C,2,2
D:\MOX\RACERPRT.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\RACERPRT.C,D:\MOX\RACESCRN.C,2,2
D:\MOX\SMACK.C,L:\MOX\MOX2.C,2,2
D:\MOX\TECH.C,D:\MOX\FIELDSAV.C,2,2
D:\MOX\TECH.C,D:\MOX\OTHERS\COLCALC.C,2,2
D:\MOX\TECH.C,D:\MOX\OTHERS\ERIC.C,2,2
D:\MOX\TECH.C,D:\MOX\OTHERS\TEXTBOX.C,2,2
D:\MOX\TURNSUM.C,D:\MOX\INFO.C,2,2
D:\MOX\TURNSUM.C,D:\MOX\OTHERS\ERIC.C,2,2
L:\MOX\ERICNET.C,D:\MOX\OTHERS\SHIPMOVE.C,2,2
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\ASSERT.C,2,2
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\GENDRAW.C,2,2
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\MAINSCR.C,2,2
L:\MOX\FILEDEF.C,D:\MOX\OTHERS\MISC.C,2,2
L:\MOX\FILEDEF.C,L:\MOX\INITGAME.C,2,2
L:\MOX\INITGAME.C,D:\MOX\OTHERS\ADVCIV.C,2,2
L:\MOX\INITGAME.C,D:\MOX\OTHERS\GEO.C,2,2
L:\MOX\INITGAME.C,D:\MOX\OTHERS\INITSHIP.C,2,2
L:\MOX\INITGAME.C,D:\MOX\OTHERS\SHIPMOVE.C,2,2
L:\MOX\MOX2.C,D:\MOX\JIM.C,2,2
L:\MOX\MOX2.C,D:\MOX\OTHERS\MULTPLAY.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\DIP-SCRN.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\EVENTS.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AIDATA.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\AITECH.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\COLONIZE.C,2,2
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\MSG.C,2,2
D:\MOX\JIM.C,D:\MOX\OTHERS\MAINMENU.C,1,2
D:\MOX\JIM.C,D:\MOX\SMACK.C,1,2
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\MSG.C,1,2
D:\MOX\OTHERS\BOMB.C,L:\MOX\ERICNET.C,1,2
D:\MOX\OTHERS\CMBTDRW1.C,D:\MOX\OTHERS\OFFICER.C,1,2
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\DESIGN.C,1,2
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\BOMB.C,1,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\DESIGN.C,1,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\ERICHELP.C,1,2
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\FLT2.C,1,2
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\AIBUILD.C,1,2
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\COLONY.C,1,2
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\BEAMS.C,1,2
D:\MOX\OTHERS\COLLAND.C,D:\MOX\BILL.C,1,2
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\HACCESS.C,1,2
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\TEXTBOX.C,1,2
D:\MOX\OTHERS\COLXPORT.C,D:\MOX\OTHERS\ERICHELP.C,1,2
D:\MOX\OTHERS\COMBFIND.C,D:\MOX\SCIENCE.C,1,2
D:\MOX\OTHERS\CONTACT.C,D:\MOX\OTHERS\SPY.C,1,2
D:\MOX\OTHERS\FLT1.C,L:\MOX\MOX2.C,1,2
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\GENDRAW.C,1,2
D:\MOX\OTHERS\HOTPOP.C,D:\MOX\OTHERS\MISC.C,1,2
D:\MOX\OTHERS\INVASION.C,D:\MOX\OTHERS\MSG.C,1,2
D:\MOX\OTHERS\LOSTSHIP.C,D:\MOX\OTHERS\SHIPMOVE.C,1,2
D:\MOX\OTHERS\MAINMENU.C,L:\MOX\ERICNET.C,1,2
D:\MOX\OTHERS\MAINPUPS.C,L:\MOX\ERICNET.C,1,2
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\GEO.C,1,2
D:\MOX\OTHERS\MAINSCR.C,D:\MOX\OTHERS\MULTPLAY.C,1,2
D:\MOX\OTHERS\MSG.C,D:\MOX\OTHERS\HACCESS.C,1,2
D:\MOX\OTHERS\NAMESTAR.C,D:\MOX\OTHERS\MAINSCR.C,1,2
D:\MOX\OTHERS\NETMOX.C,D:\MOX\OTHERS\GENDRAW.C,1,2
D:\MOX\OTHERS\RACESEL.C,D:\MOX\BILL.C,1,2
D:\MOX\OTHERS\RACESEL.C,D:\MOX\OTHERS\RACEOPT.C,1,2
D:\MOX\OTHERS\REPORT.C,D:\MOX\OTHERS\MAINSCR.C,1,2
D:\MOX\OTHERS\SCORE.C,D:\MOX\OTHERS\GENDRAW.C,1,2
D:\MOX\OTHERS\TRADE.C,D:\MOX\EVENTS.C,1,2
D:\MOX\OTHERS\TRADE.C,D:\MOX\OTHERS\OFFICER.C,1,2
D:\MOX\RACESCRN.C,D:\MOX\OTHERS\HAROLD.C,1,2
D:\MOX\SMACK.C,D:\MOX\OTHERS\RUSS.C,1,2
L:\MOX\INITGAME.C,D:\MOX\OTHERS\SHIPS.C,1,2
L:\MOX\MOX2.C,D:\MOX\OTHERS\NEWGAME.C,1,2
L:\MOX\NEXTTURN.C,D:\MOX\OTHERS\SCORE.C,1,2
D:\MOX\ANTAROOM.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\BILL.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\BILL.C,D:\MOX\INFO.C,1,1
D:\MOX\BILL.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\BILL.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\COUNCIL.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\COUNCIL.C,D:\MOX\OTHERS\MISC.C,1,1
D:\MOX\DIP-SCRN.C,D:\MOX\EVENTS.C,1,1
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\AIMOVE.C,1,1
D:\MOX\DIP-SCRN.C,D:\MOX\OTHERS\SHIPMOVE.C,1,1
D:\MOX\DIPLOMAC.C,D:\MOX\DIP-SCRN.C,1,1
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\DIPLOMAC.C,D:\MOX\OTHERS\NEWTECH.C,1,1
D:\MOX\EVENTS.C,D:\MOX\DIPLOMAC.C,1,1
D:\MOX\EVENTS.C,D:\MOX\OTHERS\COLBLDG.C,1,1
D:\MOX\EVENTS.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\EVENTS.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\EVENTS.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\EVENTS.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\FIELDSAV.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\FIELDSAV.C,L:\MOX\MOX.C,1,1
D:\MOX\JIM.C,D:\MOX\OTHERS\ERIC.C,1,1
D:\MOX\JIM.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\JIM.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\ADVCIV.C,D:\MOX\OTHERS\AIDATA.C,1,1
D:\MOX\OTHERS\ADVCIV.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\ADVCIV.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\AIMOVE.C,1,1
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\DESIGN.C,1,1
D:\MOX\OTHERS\AIBUILD.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\AISTAGE.C,1,1
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\AITECH.C,1,1
D:\MOX\OTHERS\AIDATA.C,D:\MOX\OTHERS\SHIPSTAK.C,1,1
D:\MOX\OTHERS\AIDESIGN.C,D:\MOX\OTHERS\KEN.C,1,1
D:\MOX\OTHERS\AIDUDES.C,D:\MOX\OTHERS\COLBLDG.C,1,1
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\DIPLOMAC.C,1,1
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\AIMOVE.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\AISTAGE.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\AISTAGE.C,D:\MOX\OTHERS\SHIPMOVE.C,1,1
D:\MOX\OTHERS\AITECH.C,D:\MOX\OTHERS\AIMOVE.C,1,1
D:\MOX\OTHERS\AITECH.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\AITECH.C,D:\MOX\OTHERS\NEWTECH.C,1,1
D:\MOX\OTHERS\AITECH.C,D:\MOX\OTHERS\RACEOPT.C,1,1
D:\MOX\OTHERS\AITECH.C,D:\MOX\OTHERS\SHIPMOVE.C,1,1
D:\MOX\OTHERS\ANTARANS.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\ANTARANS.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\ANTARANS.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\ANTARANS.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\CMBTFIRE.C,1,1
D:\MOX\OTHERS\BEAMS.C,D:\MOX\OTHERS\CMBTMIS.C,1,1
D:\MOX\OTHERS\BOMB.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\BOMB.C,D:\MOX\OTHERS\COLBLDG.C,1,1
D:\MOX\OTHERS\BOMB.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\BOMB.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\BOMB.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\KEN.C,1,1
D:\MOX\OTHERS\CMBTAI.C,D:\MOX\OTHERS\NETMOX.C,1,1
D:\MOX\OTHERS\CMBTAI.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\CMBTMOV1.C,1,1
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\COMBAT.C,1,1
D:\MOX\OTHERS\CMBTFIR2.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\CMBTFIRE.C,D:\MOX\OTHERS\INITSHIP.C,1,1
D:\MOX\OTHERS\CMBTFIRE.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\CMBTAI.C,1,1
D:\MOX\OTHERS\CMBTMIS.C,D:\MOX\OTHERS\COMBAT1.C,1,1
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\COMBAT1.C,1,1
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\KEN.C,1,1
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\NETMOX.C,1,1
D:\MOX\OTHERS\CMBTMOV1.C,D:\MOX\OTHERS\RUSS.C,1,1
D:\MOX\OTHERS\CMBTMOV1.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\CMBTFIR2.C,1,1
D:\MOX\OTHERS\CMBTSPEC.C,D:\MOX\OTHERS\COLONY.C,1,1
D:\MOX\OTHERS\COLBCACH.C,D:\MOX\OTHERS\COLONY.C,1,1
D:\MOX\OTHERS\COLBCACH.C,D:\MOX\OTHERS\ESTRINGS.C,1,1
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\HACCESS.C,1,1
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\COLBLDG.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\COLBLDG.C,L:\MOX\MOX2.C,1,1
D:\MOX\OTHERS\COLBOMB.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\OTHERS\COLBOMB.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\DIPLOMAC.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\CONTACT.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\MAINTAIN.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\SPY.C,1,1
D:\MOX\OTHERS\COLCALC.C,D:\MOX\OTHERS\TEXTBOX.C,1,1
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\BILL.C,1,1
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\ASSERT.C,1,1
D:\MOX\OTHERS\COLDRAW.C,D:\MOX\OTHERS\COLMOVE.C,1,1
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\FMTPARA.C,1,1
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\INVASION.C,1,1
D:\MOX\OTHERS\COLGCBT.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\COLCALC.C,1,1
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\COLLAND.C,D:\MOX\OTHERS\OCPOLPUP.C,1,1
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\COLMOVE.C,D:\MOX\OTHERS\HAROLD.C,1,1
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\AIDATA.C,1,1
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\MAINSCR.C,1,1
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\MSG.C,1,1
D:\MOX\OTHERS\COLONIZE.C,D:\MOX\OTHERS\SHIPS.C,1,1
D:\MOX\OTHERS\COLONIZE.C,L:\MOX\ERICNET.C,1,1
D:\MOX\OTHERS\COLONIZE.C,L:\MOX\INITGAME.C,1,1
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\GEO.C,1,1
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\NEWPUP.C,1,1
D:\MOX\OTHERS\COLONY.C,D:\MOX\OTHERS\OFFICER.C,1,1
D:\MOX\OTHERS\COLONY.C,L:\MOX\INITGAME.C,1,1
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\ERICHELP.C,1,1
D:\MOX\OTHERS\COLREFIT.C,D:\MOX\OTHERS\GENDRAW.C,1,1
D:\MOX\OTHERS\COLSUM.C,D:\MOX\EVENTS.C,1,1
D:\MOX\OTHERS\COLSUM.C,D:\MOX\FMTPARA.C,1,1
