caller,caller_offset,jump_site,target_owner,target_owner_offset,target,target_delta
Assign_Loknar_Ship_To_Player_,558008,558212,Ask_For_Hire_,535922,536166,244
Allocate_Adv_Civ_Game_Officers_,558217,558638,Officer_Skill_Value_,542391,542720,329
Get_N_Skills_Per_Officer_Displayed_,558643,558887,Officer_Skill_Value_,542391,542720,329
Assign_Captain_,559099,560158,Leader_Name_,554376,554809,433
Leader_Cheat_Popup_,561134,561694,Ask_For_Hire_,535922,536172,250
Give_Leader_Specials_To_Player_,561699,562006,Hire_Officer_,540971,541109,138
Best_Diplomat_Skill_Bonus_,562011,562154,Officer_Skill_Value_,542391,542718,327
Add_Plntsum_Fields_,562641,563542,Add_PlntSum_Galaxy_Map_Fields_,563647,563817,170
Build_Ship_Summary_,563962,564738,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Check_For_Colony_And_Outpost_Ships_,564743,565021,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Draw_Rotating_Planets_,565541,565739,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Fill_Summary_Screen_Scroll_Bar_,565744,565941,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Filter_Explored_Planets_,565946,566508,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Planet_Summary_List_Id_,567939,567999,First_Planet_In_Summary_List_,567854,567932,78
Planet_Summary_Id_,568375,568436,First_Planet_In_Summary_List_,567854,567932,78
Send_Nearest_Ship_,570055,571366,Add_PlntSum_Galaxy_Map_Fields_,563647,563817,170
Set_Colony_Ship_To_Star_Distances_,571377,571795,Planet_Is_Enemy_Controlled_,568045,568294,249
Set_Outpost_Ship_To_Star_Distances_,571800,572219,Planet_Is_Enemy_Controlled_,568045,568294,249
Draw_Nearest_Ship_Directional_Line_,572486,573136,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Summary_Planet_Index_,573212,573291,First_Planet_In_Summary_List_,567854,567932,78
Summary_Screen_Print_Data_,573296,574971,Send_Nearest_Ship_,570055,571359,1304
Summary_Screen_Print_Scanned_,574976,575981,Send_Nearest_Ship_,570055,571365,1310
Wrapper_For_Planet_Summary_Galaxy_Map_,576160,576762,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Update_Ship_Etas_,577448,577729,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Planet_Summary_Screen_,578130,579557,Add_PlntSum_Galaxy_Map_Fields_,563647,563816,169
Draw_Total_Score_,580726,581362,Build_Captured_Colonists_Array_,579606,579910,304
Draw_Eliminated_Race_Pictures_,581367,582007,Build_Captured_Colonists_Array_,579606,579909,303
Draw_Elimination_Score_,582012,582146,Build_Captured_Colonists_Array_,579606,579909,303
Draw_Hi_Score_Screen_,582266,582568,Calculate_Hi_Scores_,579959,580379,420
Draw_Orion_Score_,582573,582604,Draw_Council_Score_,580671,580717,46
Draw_Population_Score_,583169,583237,Draw_Captured_Colonies_Score_,580571,580661,90
Draw_Reg_Pop_,583242,583263,Draw_Cap_Pop_,580539,580563,24
Draw_Technology_Score_,583268,583302,Draw_Council_Score_,580671,580717,46
Draw_Time_Score_,583307,583436,Calculate_Hi_Scores_,579959,580379,420
Get_Hall_Of_Fame_Colors_,583533,583611,Build_Captured_Colonists_Array_,579606,579910,304
Get_Hi_Score_Colors_,583616,583751,Build_Captured_Colonists_Array_,579606,579910,304
Get_Population_Score_,583879,583945,Get_Elimination_Score_,583756,583836,80
Draw_Hall_Of_Fame_Screen_,585283,586369,Build_Captured_Colonists_Array_,579606,579909,303
Hall_Of_Fame_Screen_,586374,586818,Build_Captured_Colonists_Array_,579606,579910,304
Read_HOF_File_,586925,586956,Calculate_Hi_Scores_,579959,580379,420
Read_HOF_File_,586925,587008,Calculate_Hi_Scores_,579959,580379,420
Create_Default_HOF_File_,587072,587533,Build_Captured_Colonists_Array_,579606,579909,303
End_Of_Game_Hi_Score_,587538,588156,Draw_Total_Score_,580726,581355,629
Init_Hall_Of_Fame_Screen_,588161,588753,Build_Captured_Colonists_Array_,579606,579909,303
Set_Hi_Score_Pop_Icon_Ids_,589040,589617,Build_Captured_Colonists_Array_,579606,579909,303
Set_Vertical_Scroll_Bar_Maxima_,590117,590171,Get_Vertical_Scroll_Bar_First_Item_,589888,590059,171
Draw_Ship_Icons_,591631,591811,Build_Ship_Icons_,590597,591624,1027
Do_Ship_Destination_Lines_,591885,592339,Build_Ship_Icons_,590597,591624,1027
Add_Ship_Icon_Fields_,592344,592447,Build_Ship_Icons_,590597,591624,1027
Load_Highlighted_Ship_Icon_Picture_,595029,595301,Build_Ship_Icons_,590597,591624,1027
Load_Highlighted_Ship_Icon_Picture_,595029,595496,Build_Ship_Icons_,590597,591624,1027
Kill_Ship_,595514,595618,Set_Ship_Icon_XYs_,591816,591879,63
Kill_Ship_,595514,595631,Build_Nonplayer_Ship_,595647,595655,8
Draw_Outpost_Marker_,601389,601463,Draw_Colony_Marker_,601105,601181,76
Draw_System_Display_Border_,602309,602363,Draw_Sun_Seg_,602149,602298,149
Draw_System_Display_Planets_,602365,602581,Draw_Gate_Icons_,601190,601383,193
Draw_System_Ship_Icons_,605124,605477,Draw_Gate_Icons_,601190,601383,193
Get_System_Display_Ship_Icon_XY_,605757,605943,Draw_System_Highlight_,604693,605118,425
Hide_System_Display_,605985,606177,Draw_Sun_Seg_,602149,602303,154
Load_New_System_Display_,606286,607018,Build_System_Popup_Ships_,598030,598214,184
N_Ships_By_Type_At_Location_,607023,607265,Draw_Planet_With_Pierced_Ring_,601468,602143,675
Global_Data_Seg_Ok_,607386,607482,Need_To_Reload_System_Display_,607270,607380,110
Potential_Colony_Info_Popup_,607551,608628,Build_System_Popup_Ships_,598030,598215,185
Potential_Colony_Info_Popup_,607551,608633,__SegmentEndPC32,1410708,1275679432,1274268724
Print_Gate_Info_,608649,609290,Do_Print_System_Ship_Data_,599779,601096,1317
Print_System_Display_Box_Title_,609345,609708,Draw_System_Highlight_,604693,605118,425
Set_System_Display_Loaded_Flag_,609819,609934,Need_To_Reload_System_Display_,607270,607380,110
Wrapper_For_Normal_System_Fields_,610136,610233,Build_System_Popup_Ships_,598030,598214,184
Calculate_Remap_Gray_Palettes_,610384,610569,Build_System_Popup_Ships_,598030,598214,184
Calculate_Remap_Gray_Palettes_,610384,610586,__SegmentEndPC32,1410708,940137073,938726365
Calculate_Remap_Gray_Palettes_,610384,610602,__SegmentEndPC32,1410708,1443453569,1442042861
Print_Empty_System_Data_,612155,612415,Build_System_Popup_Ships_,598030,598214,184
Print_Special_Building_Data_,612558,612764,Draw_Sun_Seg_,602149,602303,154
Rob_Interpolate_Line_,617006,617145,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Rob_Interpolate_Line_,617006,617168,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Rob_Interpolate_Line_,617006,617179,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Rob_Interpolate_Line_,617006,617202,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Rob_Interpolate_Line_,617006,617213,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Rob_Interpolate_Line_,617006,617360,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Draw_Ship_Explosion_,619447,619558,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Load_Ship_Burst_,619594,619712,Rot_To_Base_Rot_,630686,630724,38
Load_Ship_Explosion_,619717,619795,Rot_To_Base_Rot_,630686,630724,38
Draw_Fighter_Beam_,626739,626923,Draw_Ship_Burst_,619364,619441,77
Draw_Fighter_Beam_,626739,627050,Draw_Ship_Burst_,619364,619441,77
Draw_Damage_Message_Queue_,627235,627349,Rot_To_Base_Rot_,630686,630724,38
Add_Damage_Indicator_For_Ship_,627626,627725,Draw_Ship_Burst_,619364,619441,77
Add_Damage_Indicator_For_Biological_,627770,627806,Add_Damage_Indicator_For_Missile_,627730,627763,33
Load_Shield_Hit_,628514,628637,Rot_To_Base_Rot_,630686,630724,38
Draw_All_Shields_,628642,628722,Rot_To_Base_Rot_,630686,630724,38
Planet_Size_To_Shield_Size_,629448,629467,Ship_Size_To_Shield_Size_,629421,629439,18
Draw_Shield_Hit_,629485,630681,Draw_Damage_Indicator_,627366,627620,254
Rot_To_Rot_Method_,630731,630762,Rot_To_Base_Rot_,630686,630717,31
Draw_Reflection_Field_Hit_Next_Frame_,631425,631672,Draw_Shield_Hit_Next_Frame_,629151,629409,258
Draw_Reflection_Field_Hit_,631693,632150,Draw_Shield_Hit_Next_Frame_,629151,629415,264
Set_Beam_Colors_,633911,635159,Beam_SFX_,622999,626730,3731
Draw_Anti_Missile_Rocket_Picture_,637008,637114,Draw_Gyro_Special_Effect_,638045,638957,912
Teleport_Enemy_Ship_,638963,639281,Draw_Gyro_Special_Effect_,638045,638957,912
Draw_Stasis_Beam_,641146,641861,Draw_Gyro_Special_Effect_,638045,638957,912
Draw_Cloak_,641866,642262,Draw_Gyro_Special_Effect_,638045,638952,907
Tractor_Beam_,644042,644459,Draw_Gyro_Special_Effect_,638045,638957,912
Tractor_Beam_,644042,644476,Reload_Main_Council_Screen_,22228,22358,130
Draw_Plasma_Web_,644480,645093,Draw_Moving_Tractor_,642568,642922,354
Draw_Transporter_Bomb_Beam_,645109,645509,Draw_Moving_Tractor_,642568,642922,354
Draw_Ship_Collapsing_,646464,646516,Do_Spherical_SFX_,646680,650221,3541
Draw_Ship_Collapsing_,646464,646675,Do_Spherical_SFX_,646680,650221,3541
N_Prods_In_Queue_,654825,654855,Colbldg_Create_Ship_,653167,653230,63
Star_N_Uncolonized_Worlds_,654958,655067,Trace_Tech_Apps_,654658,654819,161
Draw_Militarys_List_,656995,657605,Trace_Tech_Apps_,654658,654818,160
Add_Buildings_Fields_,657610,657735,Trace_Tech_Apps_,654658,654819,161
Add_Militarys_Fields_,657740,657865,Trace_Tech_Apps_,654658,654819,161
Draw_Building_Info_,658147,658345,Draw_Buildings_List_,656637,656989,352
Draw_Ship_Design_Info_,660140,660379,Trace_Tech_Apps_,654658,654818,160
Draw_Ship_Info_,660384,660563,Trace_Tech_Apps_,654658,654818,160
Draw_Active_Prod_,660568,660933,Trace_Tech_Apps_,654658,654819,161
Draw_Active_Prod_,660568,661105,Trace_Tech_Apps_,654658,654819,161
Draw_Active_Prod_,660568,661192,Trace_Tech_Apps_,654658,654819,161
Add_To_Queue_,661269,661341,Trace_Tech_Apps_,654658,654819,161
Add_To_Queue_,661269,662246,Trace_Tech_Apps_,654658,654819,161
Add_Refited_Ship_To_Queue_,663952,664328,Trace_Tech_Apps_,654658,654818,160
Insert_Before_Queue_Slot_,664333,664565,Get_App_Description_String_,654283,654367,84
Do_Exit_Screen_Cleanup_,664833,665547,Get_App_Description_String_,654283,654367,84
Do_Exit_Screen_Cleanup_,664833,666744,Get_App_Description_String_,654283,654367,84
Do_Exit_Screen_Cleanup_,664833,667505,Get_App_Description_String_,654283,654367,84
Do_Exit_Screen_Cleanup_,664833,667637,Get_App_Description_String_,654283,654367,84
Draw_Build_Queue_,667759,668245,Trace_Tech_Apps_,654658,654818,160
Add_Build_Queue_Fields_,668250,668335,Trace_Tech_Apps_,654658,654818,160
Draw_Current_Selection_,668456,668664,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,668954,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,669130,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,669580,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,669829,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,669862,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,670086,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,670479,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,670497,Draw_Buildings_List_,656637,656989,352
Draw_Current_Selection_,668456,670545,Draw_Buildings_List_,656637,656989,352
Build_Queue_Popup_,671809,672552,Draw_Buildings_List_,656637,656989,352
Load_Bombing_Anims_,672602,672641,Build_Queue_Popup_,671809,672560,751
Do_Bomb_,673286,673482,Add_Bomb_To_End_Of_Queue_,672678,672984,306
Do_Summary_String_Popup_,674123,675069,Add_Bomb_To_End_Of_Queue_,672678,672985,307
Draw_Info_Wee_Morale_,676808,676810,Draw_Info_Morale_,676790,676792,2
Draw_Colony_Wee_Prod_,677319,677325,Draw_Colony_Prod_,677283,677289,6
Build_Road_List_Based_On_Bldg_List_,680089,680482,Load_Road_List_Anims_,679870,680082,212
Draw_Road_List_,680533,680654,Load_Road_List_Anims_,679870,680082,212
Link_Buildings_,680659,680774,Load_Road_List_Anims_,679870,680082,212
Find_Simplest_Path_Node_,680786,680861,Draw_Colony_Prod_Both_,677327,679628,2301
Find_Simplest_Path_Node_,680786,681377,Draw_Colony_Prod_Both_,677327,679628,2301
Find_Simplest_Path_Node_,680786,681427,Draw_Colony_Prod_Both_,677327,679628,2301
Pick_Random_Road_Around_CR_,682072,682078,Pick_Random_Road_At_CR_,682059,682065,6
Build_Veggie_List_Based_On_Bldg_List_,682359,682896,Load_Road_List_Anims_,679870,680082,212
Add_Hit_Anim_To_Queue_,684448,684471,Add_Kill_Anim_To_Queue_,684421,684436,15
Force_Firing_Pairs_,686610,686791,Draw_Colony_Combat_Screen_,684681,685195,514
N_Left_Active_To_Process_,686935,686992,N_Left_Of_Me_To_Process_,686876,686929,53
Move_Is_Legal_,689133,689316,Resort_Units_,686994,687238,244
Move_Is_Legal_,689133,689386,Resort_Units_,686994,687238,244
Move_Is_Legal_,689133,689443,Resort_Units_,686994,687238,244
Move_Is_Legal_,689133,689504,Resort_Units_,686994,687238,244
Move_Is_Legal_,689133,689517,Set_Mox_Alt_Path_,2674,2693,19
Do_Delta_Y_,689695,689839,Resort_Units_,686994,687238,244
Add_Unit_,690125,690336,Draw_Colony_Combat_Screen_,684681,685195,514
Add_Unit_,690125,690349,Draw_Colony_Combat_Screen_,684681,685195,514
Draw_Summary_Box_DEF_,691339,691958,N_Troop_Type_,689970,690039,69
Draw_Unit_Beam_,692063,692405,Resort_Units_,686994,687238,244
Load_Landing_Anims_,693160,693199,Set_Ground_Combat_Screen_Help_List_,693097,693118,21
Get_Cluster_,695357,695420,Draw_Cluster_,695113,695351,238
Get_Cluster_,695357,695518,Draw_Cluster_,695113,695351,238
N_Colonies_And_Outposts_At_Star_For_Player_,698446,698554,Box_Bldg_Slot_,706577,706656,79
Remap_Draw_Ship_Seg_N_Centered_,699300,699463,Remap_Draw_Ship_Centered_,699077,699276,199
Set_Colony_Font_To_Player_,700220,700290,Set_Colony_Font_To_Blue_,700292,700354,62
Set_Colony_Font_To_Reg_Blue_,700361,700432,Set_Colony_Font_To_Blue_,700292,700346,54
Pop_State_String_,700743,700761,Conquered_String_,700705,700719,14
Spy_Anim_,701314,701338,Satellite_Anims_,703391,703410,19
Draw_Building_,701464,701540,Make_Satellite_Bitm_,699521,699801,280
Colony_Pop_Anim_,701609,701732,Box_Bldg_Slot_,706577,706656,79
Colony_Pop_Anim_,701609,701753,Box_Bldg_Slot_,706577,706656,79
Race_Conquered_Anim_,701758,701768,Spy_Anim_,701314,701324,10
Govt_Anims_,703370,703389,Satellite_Anims_,703391,703410,19
Import_Anims_,703599,703613,Prod_Anims_,703558,703581,23
Import_Anims_,703599,703625,Prod_Anims_,703558,703581,23
Clear_Bldgs_Array_,703733,703747,Clear_Satellite_Array_,703708,703725,17
Sort_Bldg_Array_Columns_,703945,704345,Make_Satellite_Bitm_,699521,699801,280
N_Houses_In_Bldg_Array_,704350,704425,N_Colonies_And_Outposts_At_Star_,698559,698628,69
Make_Bldg_Array_For_Colony_,705291,706003,Box_Bldg_Slot_,706577,706656,79
Sum_Colonists_,706930,707274,Box_To_XY_Pair_,706213,706402,189
Draw_Colony_Info_Pop_For_,707335,707401,Add_Job_Field_For_,707403,707472,69
Draw_Colony_Info_Pop_Scanned_,707979,708136,Add_Move_Colonist_Job_Field_For_,707693,707888,195
Draw_Colony_Info_Production_For_,708222,708240,Draw_Colony_Info_Pop_Scanned_,707979,708148,169
Draw_Colony_Info_Military_,709115,709161,Make_Satellite_Bitm_,699521,699801,280
Add_Military_Field_For_,709166,709172,Draw_Colony_Info_Military_For_,709105,709108,3
Add_Military_Fields_,709174,709223,Make_Satellite_Bitm_,699521,699801,280
Draw_Info_Name_And_Pop_,709684,710402,Make_Satellite_Bitm_,699521,699801,280
Draw_Info_Build_,711983,712628,Make_Satellite_Bitm_,699521,699801,280
Add_Satellite_Fields_,712633,712855,Make_Satellite_Bitm_,699521,699801,280
Check_Satellite_Fields_,712860,713324,Box_Bldg_Slot_,706577,706656,79
Satellite_Anim_,713478,713569,Satellite_Anims_,703391,703407,16
Draw_Colony_Satellites_,713574,713797,Make_Satellite_Bitm_,699521,699802,281
Add_Bldg_Fields_,713802,713987,Make_Satellite_Bitm_,699521,699801,280
Check_Bldg_Fields_,714032,714554,Box_Bldg_Slot_,706577,706656,79
Check_Bldg_Fields_,714032,714863,Box_Bldg_Slot_,706577,706656,79
Check_Bldg_Fields_,714032,714897,Box_Bldg_Slot_,706577,706656,79
Draw_Bldg_CR_Dark_,714902,715099,Box_Bldg_Slot_,706577,706651,74
Draw_Bldg_At_XY_With_Bottom_Centered_No_Glass_,715104,715310,Draw_Building_With_Bottom_Centered_,711048,711249,201
Draw_Colony_Bldg_,715315,715474,Box_Bldg_Slot_,706577,706656,79
Draw_Colony_Bldg_,715315,715528,Box_Bldg_Slot_,706577,706656,79
Draw_Colony_Bldg_,715315,715544,Box_Bldg_Slot_,706577,706656,79
Draw_Colony_Bldgs_,715740,715940,Defragment_Colony_Queue_,698789,698854,65
Draw_Colony_Bldgs_to_Bitm_,715945,716055,Make_Satellite_Bitm_,699521,699801,280
Check_System_Display_Fields_,718850,719301,Box_Bldg_Slot_,706577,706656,79
Check_System_Display_Fields_,718850,719878,Box_Bldg_Slot_,706577,706656,79
Tested_Colony_Buys_Outright_,719883,720141,Make_Satellite_Bitm_,699521,699801,280
Tested_Colony_Buys_Outright_,719883,720361,Make_Satellite_Bitm_,699521,699801,280
Colony_Screen_,722314,722684,Make_Satellite_Bitm_,699521,699801,280
Colony_Screen_,722314,723296,Make_Satellite_Bitm_,699521,699801,280
Cache_Load_Planet_,723301,723317,Satellite_Anims_,703391,703410,19
Picture_To_Mouse_,723551,723642,Picture_And_Pointer_To_Mouse_,723322,723525,203
Reset_Mouse_Picture_,723700,723716,Clear_Move_Military_,700922,700952,30
Mini_Planet_Anim_,724412,724504,Satellite_Anims_,703391,703410,19
Update_First_Ship_,724798,725216,Add_Ship_List_Fields_,725513,725669,156
Draw_Ship2_,725802,726073,Draw_Refit_Popup_,726248,727157,909
Load_Refit2_Ship_Anims_,727482,727500,Load_Refit_Ship_Anims_,724692,724707,15
Add2_Fields_,727510,727850,Add_Ship_List_Fields_,725513,725668,155
Scan_Ship_D_Info_,727855,727907,Scan_Ship_Info_,726078,726148,70
Draw_Ship_D_List_,727912,728422,Add_Ship_List_Fields_,725513,725668,155
Evaluate2_Input_,728692,728897,Draw_Refit_Popup_,726248,727157,909
Evaluate2_Input_,728692,729104,Draw_Refit_Popup_,726248,727157,909
Evaluate2_Input_,728692,729258,Draw_Refit_Popup_,726248,727126,878
Draw_Empire_Info_,730868,731535,Restore_Control_,730370,730750,380
Get_Selected_Pop_,731802,732013,Get_Scanned_Pop_,731540,731796,256
Add_Fields_Pop_For_,732018,732287,Restore_Control_,730370,730750,380
Add_Fields_Pop_For_,732018,732729,Restore_Control_,730370,730750,380
Event_Good_,733449,734424,Restore_Control_,730370,730751,381
Colsum_Box_Galaxy_Map_Star_,735898,736010,Get_Scanned_Pop_,731540,731796,256
Draw_Colony_Scan_Info_,736060,736502,Restore_Control_,730370,730750,380
Draw_Colony_Summary_Screen_,736564,737067,Restore_Control_,730370,730745,375
Check_Galaxy_Map_Fields_,739265,739562,Get_Scanned_Pop_,731540,731796,256
Draw_Col_Sys_Disp_Last_Scanned_,741387,741629,Draw_Col_Sys_Disp_,739785,740242,457
Load_Xport_Anims_,742134,742315,N_Colonies_,742752,742845,93
Draw_Bar_Indicator_,743099,743387,N_Colonies_,742752,743093,341
Draw_Bar_Indicator_,743099,743419,N_Colonies_,742752,743093,341
Xport_Popup_,743732,744063,N_Colonies_,742752,743092,340
Draw_Bottom_Centered_,744789,744819,Draw_Centered_,744703,744738,35
Play_Normal_Win_Flic_,747291,747323,Play_Diplomatic_Win_Flic_,747197,747263,66
Play_Antaran_Win_Flic_,747325,747357,Play_Diplomatic_Win_Flic_,747197,747226,29
Play_Loose_Flic_,747362,747389,Play_Diplomatic_Win_Flic_,747197,747261,64
Draw_Click_Thru_Fields_,747716,747953,Draw_Fake_Buttons_,747394,747528,134
Evaluate_Click_Thru_Fields_,748196,748276,Draw_Fake_Buttons_,747394,747528,134
Clear_New_Officer_Slots_,749381,749391,Clear_System_Special_Slots_,749350,749370,20
Add_Random_New_Officer_Fields_,750922,751113,Draw_Special_Info_Popup_,750360,750857,497
Marooned_Officer_Fails_Popup_,753440,753453,Marooned_Officer_Joins_Popup_,753412,753425,13
Add_Officer_Gains_Level_Fields_,753455,753458,Add_Discovery_Fields_,754542,754587,45
Load_Officer_Gains_Level_Popup_,754117,754180,Load_New_Officer_Popup_,751973,752088,115
Officer_Gains_Level_Popup_,754185,754441,Defense_Colony_Selection_Popup_,759414,759737,323
Draw_Discovery_Popup_,754629,754947,Random_New_Officer_Popup_,752346,753405,1059
New_System_Discovery_Popup_,755030,755564,Officer_Gains_Level_Popup_,754185,754436,251
Add_Selection_Fields_,755649,755657,Add_Discovery_Fields_,754542,754547,5
Draw_Selection_Popup_,755678,756092,Random_New_Officer_Popup_,752346,753406,1060
Drop_Troops_Selection_Popup_,757052,757063,Artificial_Planet_Selection_Popup_,757027,757038,11
New_Outpost_Selection_Popup_,757065,757076,Artificial_Planet_Selection_Popup_,757027,757038,11
New_Colony_Selection_Popup_,757176,757527,Defense_Colony_Selection_Popup_,759414,759737,323
Update_Attack_Selection_Fields_,757611,757656,Add_Attack_Selection_Fields_,757658,757671,13
Attack_Colony_Selection_Popup_,758200,758459,Defense_Colony_Selection_Popup_,759414,759737,323
Update_Defense_Selection_Fields_,758531,758576,Add_Attack_Selection_Fields_,757658,757671,13
Add_Defense_Selection_Fields_,758581,758589,Add_Attack_Selection_Fields_,757658,757666,8
Draw_Defense_Selection_Popup_,758594,758704,Draw_Attack_Selection_Popup_,757703,757797,94
Draw_Slider_Popup_,760893,761433,Random_New_Officer_Popup_,752346,753405,1059
New_Colony_Confirmation_Box_,761796,762216,Random_New_Officer_Popup_,752346,753405,1059
Build_Generic_Planet_Or_Colony_Description_String_Formatted_,762221,762845,Defense_Colony_Selection_Popup_,759414,759737,323
Build_Generic_Planet_Or_Colony_Description_String_Formatted_,762221,763449,Defense_Colony_Selection_Popup_,759414,759737,323
Colony_Invasion_Popup_,763791,763850,Colony_Selection_Popup_,763558,763633,75
Add_Colony_Combat_Fields_,765384,766519,Defense_Colony_Selection_Popup_,759414,759737,323
Draw_Colony_Combat_Popup_,766524,768135,Random_New_Officer_Popup_,752346,753405,1059
Colony_Combat_Popup_,768720,769718,Defense_Colony_Selection_Popup_,759414,759735,321
Dragon_New_Star_Popup_,771893,772119,Defense_Colony_Selection_Popup_,759414,759735,321
Draw_Pictures_,773181,773431,Reload_Newgame_Screen_,772636,773174,538
Draw_Newgame_Screen_,773436,775004,Reload_Newgame_Screen_,772636,773175,539
Newgame_Screen_,775221,776412,Reload_Newgame_Screen_,772636,773174,538
Set_Colony_Summary_Screen_Help_List_,776984,777000,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Refit_Ship_Popup_Help_List_,777002,777018,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Building_Queue_Screen_Help_List_,777020,777036,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Transport_Popup_Help_List_,777038,777054,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Occupation_Policy_Popup_Help_List_,777056,777072,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Player_Attacked_Popup_Help_List_,777156,777172,Set_Colony_Screen_Help_List_,776961,776977,16
Set_New_Colony_Confirmation_Box_Help_List_,777177,777193,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Tax_Rate_Popup_Help_List_,777198,777214,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Dragon_New_Star_Popup_Help_List_,777219,777235,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Planet_Selection_Popup_Help_List_,777240,777256,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Officer_Information_Popup_Help_List_,777261,777277,Set_Colony_Screen_Help_List_,776961,776977,16
Set_Combat_Colony_Selection_Popup_Help_List_,777282,777298,Set_Colony_Screen_Help_List_,776961,776977,16
Mean_Ship_Strength_,785125,785585,Compute_Needs_,783373,785118,1745
Colony_Is_Conquered_,786178,786354,__SegmentEndPC32,1410708,957090750,955680042
Assign_Colony_New_Building_,789256,789586,Compute_Needs_,783373,785118,1745
Assign_Colony_New_Building_,789256,789602,Compute_Needs_,783373,785118,1745
Assign_Colony_New_Building_,789256,789626,Compute_Needs_,783373,785118,1745
Empire_Buy_Outright_,789807,790529,Compute_Needs_,783373,785118,1745
Assign_Empire_Building_,790766,796495,Compute_Needs_,783373,785119,1746
Proximity_Worth_To_Player_,797418,797849,Uncolonized_Planet_Worth_To_Player_,796583,797186,603
Colony_Worth_To_Player_,797870,798056,Uncolonized_Planet_Worth_To_Player_,796583,797186,603
Colony_Worth_To_Player_,797870,798761,Uncolonized_Planet_Worth_To_Player_,796583,797177,594
Compute_Base_Planet_Values_,798766,799008,Colony_Dominant_Player_,797192,797346,154
Compute_Contextual_Planet_Values_,799013,799507,Colony_Dominant_Player_,797192,797346,154
Refit_Desirability_,799697,800106,Colony_Dominant_Player_,797192,797346,154
Compute_Star_Player_Range_Info_,801696,802095,Colony_Dominant_Player_,797192,797346,154
Compute_AI_Data_,802100,808776,Colony_Dominant_Player_,797192,797347,155
Keep_Ship_Designs_Up_To_Date_,810222,810388,Clear_Build_Queues_If_New_Tech_,809172,810215,1043
Sort_Pops_Fixed_,810921,810972,Sort_Colonies_Blockaded_,808801,808847,46
Assign_Required_Colonists_,810977,811296,Clear_Build_Queues_If_New_Tech_,809172,810215,1043
Do_Blockaded_Colony_,811495,811792,Clear_Build_Queues_If_New_Tech_,809172,810216,1044
Sort_Pops_R_I_,811797,811914,Sort_Pops_FI_,811341,811474,133
Sort_Pops_R_I_,811797,811926,Sort_Pops_FI_,811341,811474,133
Sort_Pops_R_I_,811797,811937,Sort_Pops_FI_,811341,811474,133
Sort_Pops_FR_I_,811942,812138,Sort_Pops_FI_,811341,811478,137
Sort_Pops_FR_I_,811942,812165,Sort_Pops_FI_,811341,811478,137
Compute_Max_Min_R_I_Worthiness_,812170,812310,Clear_Build_Queues_If_New_Tech_,809172,810215,1043
Compute_Max_Min_R_I_Worthiness_,812170,812327,Clear_Build_Queues_If_New_Tech_,809172,810215,1043
Do_Unblockaded_Colony_,812332,812614,Clear_Build_Queues_If_New_Tech_,809172,810215,1043
Grab_Scientist_,812674,812721,Grab_Worker_,812619,812666,47
Sort_Pops_F_IR_,813259,813548,Sort_Pops_FI_,811341,811478,137
Sort_Pops_F_IR_,813259,813556,Sort_Pops_FI_,811341,811478,137
Sort_Pops_F_IR_,813259,813563,Sort_Pops_FI_,811341,811478,137
Make_First_Unassigned_Into_Farmer_,813568,813764,Clear_Build_Queues_If_New_Tech_,809172,810216,1044
Make_First_Unassigned_Into_Farmer_,813568,813775,Clear_Build_Queues_If_New_Tech_,809172,810216,1044
